,Close,compound,negative,neutral,positive,Open,High,Low,Volume
2004-05-07,5669.580078125,0.9958,0.086,0.774,0.14,5748.33984375,5748.33984375,5645.7900390625,22800.0
2004-05-10,5555.83984375,-0.9983,0.135,0.777,0.088,5628.60986328125,5628.60986328125,5501.169921875,24800.0
2004-05-11,5325.89990234375,-0.9714,0.116,0.783,0.101,5472.02978515625,5472.02978515625,5309.419921875,33200.0
2004-05-12,5358.35009765625,-0.9878,0.117,0.786,0.097,5296.25,5387.8701171875,5296.25,28800.0
2004-05-13,5399.47021484375,0.9948,0.107,0.741,0.152,5234.509765625,5487.33984375,5131.02978515625,45200.0
2004-05-14,5069.8701171875,-0.9959,0.112,0.816,0.072,5409.33984375,5416.0400390625,5043.990234375,49400.0
2004-05-17,4505.16015625,-0.9941,0.129,0.783,0.088,5020.89013671875,5020.89013671875,4227.5,34000.0
2004-05-18,4877.02001953125,-0.9967,0.121,0.806,0.073,4547.7001953125,4949.27001953125,4547.7001953125,37200.0
2004-05-19,5006.10009765625,-0.9114,0.115,0.781,0.104,4941.72021484375,5059.89013671875,4892.4599609375,39600.0
2004-05-20,4932.10986328125,-0.9088,0.101,0.804,0.095,5048.169921875,5073.7001953125,4912.169921875,37000.0
2004-05-21,4961.56982421875,0.9754,0.08,0.818,0.102,4922.47998046875,4978.56005859375,4804.89990234375,32200.0
2004-05-24,5123.22998046875,0.9868,0.078,0.815,0.107,4993.4501953125,5132.89990234375,4993.4501953125,26600.0
2004-05-25,5102.22021484375,0.9971,0.058,0.828,0.114,5117.52001953125,5143.93017578125,4976.009765625,29000.0
2004-05-26,5081.9501953125,0.9389,0.088,0.809,0.103,5116.580078125,5163.60986328125,5049.2099609375,31400.0
2004-05-27,5058.5498046875,-0.7061,0.094,0.806,0.1,5054.4501953125,5107.60009765625,5019.39013671875,25000.0
2004-05-28,4835.39013671875,-0.9281,0.085,0.834,0.081,5026.919921875,5026.919921875,4821.58984375,37000.0
2004-05-31,4759.6201171875,0.6708,0.121,0.761,0.118,4760.27978515625,4830.080078125,4665.2099609375,35000.0
2004-06-01,4835.1201171875,0.9967,0.07,0.81,0.12,4792.009765625,4899.52978515625,4792.009765625,30800.0
2004-06-02,4923.68994140625,-0.9887,0.095,0.831,0.074,4846.08984375,4946.14990234375,4846.08984375,26400.0
2004-06-03,4817.990234375,0.9919,0.08,0.803,0.118,4972.27001953125,5012.52001953125,4789.6298828125,34000.0
2004-06-04,4889.0,-0.9903,0.089,0.857,0.054,4803.31005859375,4902.27001953125,4759.35009765625,38400.0
2004-06-07,4938.14990234375,-0.9158,0.107,0.792,0.101,4927.5,4991.47998046875,4905.52978515625,31800.0
2004-06-08,4962.6298828125,-0.9254,0.106,0.807,0.087,4960.8701171875,4970.39013671875,4891.85986328125,31000.0
2004-06-09,4963.75,-0.9838,0.089,0.845,0.066,4972.33984375,5000.58984375,4945.240234375,33000.0
2004-06-10,4944.64013671875,-0.6175,0.091,0.812,0.096,4954.06005859375,4975.75,4919.93994140625,27000.0
2004-06-11,4832.7099609375,-0.9946,0.116,0.805,0.079,4931.490234375,4945.85986328125,4823.10009765625,27600.0
